"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"18","GP","F",15,"R","LE3","T",3,1,"other","other","reputation","father",2,4,0,"0","1","0","0","0","1","1","0",4,4,2,2,3,3,6,15,15,15
"19","GP","F",15,"R","LE3","T",3,1,"other","other","reputation","father",2,4,0,"0","1","0","0","0","1","1","0",4,4,2,2,3,3,12,16,16,16
"20","GP","F",15,"U","GT3","A",3,3,"other","health","reputation","father",1,4,0,"1","0","0","0","1","1","0","0",4,3,3,1,1,4,10,10,10,10
"21","GP","F",15,"U","GT3","A",3,3,"other","health","reputation","father",1,4,0,"1","0","0","0","1","1","0","0",4,3,3,1,1,4,10,10,11,11
"22","GP","F",15,"U","GT3","A",3,3,"services","services","home","mother",1,2,0,"0","0","0","0","0","1","0","1",1,3,2,2,3,1,24,9,8,9
"23","GP","F",15,"U","GT3","A",4,3,"services","services","reputation","mother",1,2,0,"0","1","1","1","1","1","1","0",4,3,2,1,1,1,0,14,15,15
"24","GP","F",15,"U","GT3","A",4,3,"services","services","reputation","mother",1,2,0,"0","1","0","1","1","1","1","0",4,3,2,1,1,1,0,15,14,15
"25","GP","F",15,"U","GT3","T",1,1,"at_home","other","course","mother",3,1,0,"0","1","0","1","0","1","1","1",4,3,3,1,2,4,0,8,0,0
"26","GP","F",15,"U","GT3","T",1,1,"at_home","other","course","mother",3,1,0,"0","1","0","1","0","1","1","1",4,3,3,1,2,4,6,11,12,13
"27","GP","F",15,"U","GT3","T",1,1,"other","other","home","father",1,2,0,"0","1","0","1","0","1","1","0",4,3,2,2,3,4,2,9,10,10
"28","GP","F",15,"U","GT3","T",1,1,"other","other","home","father",1,2,0,"0","1","0","1","0","1","1","0",4,3,2,2,3,4,2,13,12,12
"29","GP","F",15,"U","GT3","T",1,1,"other","services","course","father",1,2,0,"0","1","1","0","1","1","1","0",4,4,2,1,2,5,0,8,11,11
"30","GP","F",15,"U","GT3","T",1,1,"other","services","course","father",1,2,0,"0","1","0","0","1","1","1","0",4,4,2,1,2,5,0,12,12,12
"31","GP","F",15,"U","GT3","T",1,2,"at_home","other","course","mother",1,2,0,"0","1","1","0","0","1","1","0",4,3,2,1,1,5,2,10,11,11
"32","GP","F",15,"U","GT3","T",1,2,"at_home","other","course","mother",1,2,0,"0","1","0","0","0","1","1","0",4,3,2,1,1,5,6,13,12,13
"33","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","father",1,2,0,"0","0","0","0","0","1","0","1",2,3,4,2,4,1,6,11,11,11
"34","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","mother",1,2,0,"0","0","0","0","0","1","1","0",3,2,3,1,2,1,0,14,14,14
"35","GP","F",15,"U","GT3","T",1,2,"at_home","services","course","mother",1,2,0,"0","0","0","0","0","1","1","0",3,2,3,1,2,1,2,16,15,15
"36","GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"0","1","0","1","1","1","1","0",5,2,2,1,1,4,0,10,12,13
"37","GP","F",15,"U","GT3","T",2,1,"services","other","reputation","father",3,3,0,"0","1","0","1","1","1","1","0",5,2,2,1,1,4,4,10,12,12
"38","GP","F",15,"U","GT3","T",2,2,"other","other","course","mother",1,4,0,"1","1","1","0","1","1","1","0",5,1,2,1,1,3,8,7,8,8
"39","GP","F",15,"U","GT3","T",2,2,"other","other","course","mother",1,4,0,"1","1","0","0","1","1","1","0",5,1,2,1,1,3,4,10,10,10
"40","GP","F",15,"U","GT3","T",2,3,"other","other","other","father",2,1,0,"0","1","0","1","1","1","0","0",3,5,1,1,1,5,0,8,7,6
"41","GP","F",15,"U","GT3","T",2,3,"other","other","other","father",2,1,0,"0","1","0","1","1","1","0","0",3,5,1,1,1,5,4,11,11,11
"42","GP","F",15,"U","GT3","T",3,2,"health","services","home","father",1,2,1,"0","1","0","0","1","1","1","0",3,3,2,1,1,3,2,11,11,11
"43","GP","F",15,"U","GT3","T",3,2,"health","services","home","father",1,2,3,"0","1","0","0","1","1","1","0",3,3,2,1,1,3,0,6,7,0
"44","GP","F",15,"U","GT3","T",3,2,"services","other","home","mother",2,2,0,"1","1","1","0","1","1","1","0",4,3,5,1,1,2,26,7,6,6
"45","GP","F",15,"U","GT3","T",3,2,"services","other","home","mother",2,2,0,"1","1","0","0","1","1","1","0",4,3,5,1,1,2,16,11,10,10
"46","GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"0","1","1","1","1","1","1","1",3,2,2,1,1,5,2,15,14,15
"47","GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"0","1","0","1","1","1","1","1",3,2,2,1,1,5,0,14,14,14
"48","GP","F",15,"U","GT3","T",4,2,"other","other","reputation","mother",1,3,0,"0","1","0","1","1","1","1","0",5,3,3,1,3,1,4,13,14,14
"49","GP","F",15,"U","GT3","T",4,2,"other","other","reputation","mother",1,3,0,"0","1","0","1","1","1","1","0",5,3,3,1,3,1,4,15,15,15
"50","GP","F",15,"U","GT3","T",4,3,"services","other","reputation","mother",1,1,0,"0","0","1","1","1","1","1","0",4,5,5,1,3,1,4,16,17,18
"51","GP","F",15,"U","GT3","T",4,3,"services","other","reputation","mother",1,1,0,"0","0","0","1","1","1","1","0",4,5,5,1,3,1,6,14,13,13
"52","GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",1,3,0,"0","1","0","1","1","1","1","1",4,3,3,1,1,5,0,11,0,0
"53","GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",1,3,0,"0","1","0","1","1","1","1","1",4,3,3,1,1,5,4,13,14,15
"54","GP","F",15,"U","GT3","T",4,4,"services","services","course","mother",1,1,0,"1","1","1","0","1","1","1","0",3,3,4,2,3,5,0,8,10,11
"55","GP","F",15,"U","GT3","T",4,4,"services","services","course","mother",1,1,0,"1","1","0","0","1","1","1","0",3,3,4,2,3,5,0,13,12,12
"56","GP","F",15,"U","GT3","T",4,4,"services","services","reputation","father",2,2,0,"0","0","0","0","1","1","1","1",4,4,4,2,3,5,4,12,11,12
"57","GP","F",15,"U","GT3","T",4,4,"services","services","reputation","father",2,2,2,"0","0","1","0","1","1","1","1",4,4,4,2,3,5,6,7,9,8
"58","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,0,"1","1","0","1","0","1","1","0",4,4,4,1,1,3,2,13,12,12
"59","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,1,"1","1","0","1","0","1","1","0",4,4,4,1,1,3,2,7,7,7
"60","GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"0","1","1","0","1","1","1","0",3,3,3,1,2,2,0,10,8,9
"61","GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"0","1","0","0","1","1","1","0",3,3,3,1,2,2,2,14,14,14
"62","GP","F",15,"U","GT3","T",4,4,"teacher","services","course","mother",1,3,0,"0","1","1","1","1","1","1","0",4,2,2,1,1,5,2,9,11,11
"63","GP","F",15,"U","GT3","T",4,4,"teacher","services","course","mother",1,3,0,"0","1","0","1","1","1","1","0",4,2,2,1,1,5,2,13,13,13
"64","GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,1,0,"0","0","0","1","1","1","1","0",4,3,2,1,1,5,0,16,16,15
"65","GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,1,0,"0","0","0","1","1","1","1","0",4,3,2,1,1,5,6,13,14,14
"66","GP","F",15,"U","LE3","A",2,1,"at_home","other","home","mother",2,1,0,"0","1","0","1","1","0","1","1",4,4,2,1,1,5,0,11,10,10
"67","GP","F",15,"U","LE3","A",3,3,"other","other","other","mother",1,1,0,"0","0","1","0","1","1","1","0",5,3,4,4,4,1,6,10,13,13
"68","GP","F",15,"U","LE3","A",3,3,"other","other","other","mother",1,1,0,"0","0","0","0","1","1","1","0",5,3,4,4,4,1,0,13,12,13
"69","GP","F",15,"U","LE3","A",3,4,"other","other","home","mother",1,2,0,"1","0","0","1","1","1","1","1",5,3,2,1,1,1,0,7,10,11
"70","GP","F",15,"U","LE3","A",3,4,"other","other","home","mother",1,2,0,"1","0","0","1","1","1","1","1",5,3,2,1,1,1,0,10,11,11
"71","GP","F",15,"U","LE3","A",4,3,"other","other","course","mother",1,2,0,"1","1","1","1","1","1","1","1",5,2,2,1,1,5,4,10,11,11
"72","GP","F",15,"U","LE3","A",4,3,"other","other","course","mother",1,2,0,"1","1","1","1","1","1","1","1",5,2,2,1,1,5,8,8,8,6
"73","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,0,"1","0","0","0","1","1","1","0",4,3,2,2,3,3,6,12,13,12
"74","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,3,"1","0","1","0","1","1","1","0",4,3,2,2,3,3,10,7,8,10
"75","GP","F",15,"U","LE3","T",3,2,"services","other","reputation","mother",1,2,0,"0","1","1","0","1","1","1","0",4,4,4,1,1,5,10,7,6,6
"76","GP","F",15,"U","LE3","T",3,2,"services","other","reputation","mother",1,2,0,"0","1","0","0","1","1","1","0",4,4,4,1,1,5,4,12,11,11
"77","GP","F",15,"U","LE3","T",4,2,"health","other","other","mother",1,2,0,"0","1","1","0","1","1","1","0",4,3,3,1,1,5,2,11,13,13
"78","GP","F",15,"U","LE3","T",4,2,"health","other","other","mother",1,2,0,"0","1","0","0","1","1","1","0",4,3,3,1,1,5,0,16,14,16
"79","GP","F",15,"U","LE3","T",4,3,"services","services","reputation","father",1,2,0,"1","0","0","1","1","1","1","1",4,4,4,2,4,2,0,10,10,10
"80","GP","F",15,"U","LE3","T",4,3,"services","services","reputation","father",1,2,0,"1","0","0","1","1","1","1","1",4,4,4,2,4,2,0,13,12,12
"81","GP","F",16,"R","GT3","T",1,1,"at_home","other","course","mother",4,2,0,"0","1","0","0","1","1","0","0",5,1,3,1,1,3,0,14,13,13
"82","GP","F",16,"R","GT3","T",1,1,"other","services","reputation","mother",2,1,0,"0","1","0","1","1","1","0","1",3,3,3,1,2,1,8,12,11,11
"83","GP","F",16,"R","GT3","T",2,2,"services","services","reputation","mother",2,4,0,"0","1","1","1","0","1","1","0",5,3,5,1,1,5,6,10,10,11
"84","GP","F",16,"R","GT3","T",2,2,"services","services","reputation","mother",2,4,0,"0","1","0","1","0","1","1","0",5,3,5,1,1,5,6,13,13,13
"85","GP","F",16,"R","GT3","T",3,3,"services","other","reputation","father",1,3,0,"1","1","0","1","1","1","1","0",4,1,2,1,1,2,4,11,11,11
"86","GP","F",16,"R","GT3","T",3,3,"services","other","reputation","father",1,3,1,"1","1","0","1","1","1","1","0",4,1,2,1,1,2,0,7,10,10
"87","GP","F",16,"R","GT3","T",4,4,"health","teacher","other","mother",1,2,0,"0","1","0","1","1","1","0","0",2,4,4,2,3,4,0,17,16,16
"88","GP","F",16,"R","GT3","T",4,4,"health","teacher","other","mother",1,2,0,"0","1","0","1","1","1","0","0",2,4,4,2,3,4,6,10,11,11
"89","GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,0,"0","0","1","1","1","1","1","1",5,3,4,1,1,2,8,8,9,10
"90","GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,0,"0","0","0","1","1","1","1","1",5,3,4,1,1,2,2,12,13,12
"91","GP","F",16,"U","GT3","A",2,2,"other","other","home","mother",1,1,1,"0","0","0","0","1","1","0","0",5,3,4,1,1,5,12,13,11,11
"92","GP","F",16,"U","GT3","A",2,2,"other","other","reputation","mother",1,2,0,"1","1","1","0","1","1","1","0",3,3,4,1,1,4,0,12,13,14
"93","GP","F",16,"U","GT3","A",2,2,"other","other","reputation","mother",1,2,0,"1","1","0","0","1","1","1","0",3,3,4,1,1,4,0,13,13,13
"94","GP","F",16,"U","GT3","A",3,1,"services","other","course","mother",1,2,0,"0","1","0","0","1","1","1","0",2,3,3,2,2,4,2,11,11,12
"95","GP","F",16,"U","GT3","A",3,1,"services","other","course","mother",1,2,3,"0","1","1","0","1","1","1","0",2,3,3,2,2,4,5,7,7,7
"96","GP","F",16,"U","GT3","A",3,3,"other","other","course","other",2,1,0,"0","1","0","1","0","1","1","1",4,3,2,1,1,5,4,9,9,10
"97","GP","F",16,"U","GT3","A",3,3,"other","other","course","other",2,1,2,"0","1","0","1","0","1","1","1",4,3,2,1,1,5,0,4,0,0
"98","GP","F",16,"U","GT3","A",3,4,"services","other","course","father",1,1,0,"0","0","0","0","1","1","1","0",3,2,1,1,4,5,12,15,13,14
"99","GP","F",16,"U","GT3","A",3,4,"services","other","course","father",1,1,0,"0","0","0","0","1","1","1","0",3,2,1,1,4,5,16,12,11,11
"100","GP","F",16,"U","GT3","A",4,1,"other","other","home","mother",1,2,0,"0","0","0","1","1","1","1","1",5,3,3,1,2,5,0,14,13,13
"101","GP","F",16,"U","GT3","T",1,1,"at_home","other","home","mother",2,1,0,"0","1","1","0","1","1","0","0",4,3,2,1,4,5,6,9,9,10
"102","GP","F",16,"U","GT3","T",1,1,"at_home","other","home","mother",2,1,0,"0","1","0","0","1","1","0","0",4,3,2,1,4,5,2,12,13,13
"103","GP","F",16,"U","GT3","T",1,1,"services","services","course","father",4,1,0,"1","1","0","1","0","1","1","1",5,5,5,5,5,5,0,10,10,16
"104","GP","F",16,"U","GT3","T",1,1,"services","services","course","father",4,1,0,"1","1","0","1","0","1","1","1",5,5,5,5,5,5,6,10,8,11
"105","GP","F",16,"U","GT3","T",1,2,"other","other","course","mother",1,1,0,"0","0","0","0","1","0","1","0",5,3,5,1,2,5,4,12,11,11
"106","GP","F",16,"U","GT3","T",1,3,"at_home","services","home","mother",1,2,0,"0","0","0","1","0","1","1","1",4,3,5,1,1,3,0,14,13,13
"107","GP","F",16,"U","GT3","T",1,3,"at_home","services","home","mother",1,2,3,"0","0","0","1","0","1","1","1",4,3,5,1,1,3,0,8,7,0
"108","GP","F",16,"U","GT3","T",2,1,"other","other","course","mother",1,2,0,"0","1","1","0","1","1","0","1",4,3,5,1,1,5,2,8,9,10
"109","GP","F",16,"U","GT3","T",2,1,"other","other","course","mother",1,2,0,"0","1","0","0","1","1","0","1",4,3,5,1,1,5,0,13,12,12
"110","GP","F",16,"U","GT3","T",2,1,"other","other","home","mother",1,1,0,"0","0","0","0","1","1","1","1",4,5,2,1,1,5,4,9,10,10
"111","GP","F",16,"U","GT3","T",2,1,"other","other","home","mother",1,1,0,"0","0","0","0","1","1","1","1",4,5,2,1,1,5,20,13,12,12
"112","GP","F",16,"U","GT3","T",2,2,"at_home","other","home","mother",1,2,1,"1","0","0","1","1","1","1","0",3,1,2,1,1,5,6,10,13,13
"113","GP","F",16,"U","GT3","T",2,2,"at_home","other","home","mother",1,2,1,"1","0","0","1","1","1","1","0",3,1,2,1,1,5,12,8,10,10
"114","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"0","1","1","0","0","1","1","0",5,1,5,1,1,4,0,6,7,0
"115","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"0","1","0","0","0","1","1","0",5,1,5,1,1,4,0,12,12,13
"116","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"0","0","1","0","1","1","1","1",5,4,4,1,1,5,0,8,7,8
"117","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"0","0","0","0","1","1","1","1",5,4,4,1,1,5,0,12,11,11
"118","GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",1,4,0,"0","0","1","0","1","1","1","1",5,2,3,1,3,3,0,11,11,11
"119","GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",1,4,0,"0","0","0","0","1","1","1","1",5,2,3,1,3,3,1,13,13,13
"120","GP","F",16,"U","GT3","T",2,2,"services","other","reputation","mother",2,2,0,"0","0","1","1","0","1","1","0",3,4,4,1,4,5,2,13,13,11
"121","GP","F",16,"U","GT3","T",2,2,"services","other","reputation","mother",2,2,0,"0","0","0","1","0","1","1","0",3,4,4,1,4,5,0,13,12,14
"122","GP","F",16,"U","GT3","T",2,2,"services","services","home","mother",1,1,0,"0","1","0","0","0","1","1","0",1,2,2,1,3,5,6,10,11,12
"123","GP","F",16,"U","GT3","T",2,2,"services","services","home","mother",1,1,2,"0","1","1","0","0","1","1","0",1,2,2,1,3,5,14,6,9,8
"124","GP","F",16,"U","GT3","T",2,3,"other","other","reputation","mother",1,2,0,"1","1","1","1","1","1","0","0",4,4,3,1,3,4,6,8,10,10
"125","GP","F",16,"U","GT3","T",2,3,"other","other","reputation","mother",1,2,0,"1","1","0","1","1","1","0","0",4,4,3,1,3,4,4,11,12,12
"126","GP","F",16,"U","GT3","T",2,3,"services","services","course","mother",1,2,0,"0","0","0","0","1","1","1","0",4,3,3,1,1,2,6,12,12,13
"127","GP","F",16,"U","GT3","T",2,3,"services","services","course","mother",1,2,0,"0","0","0","0","1","1","1","0",4,3,3,1,1,2,10,11,12,13
"128","GP","F",16,"U","GT3","T",2,3,"services","teacher","other","mother",1,2,0,"1","0","0","0","1","1","1","0",2,3,1,1,1,3,0,13,13,14
"129","GP","F",16,"U","GT3","T",2,3,"services","teacher","other","mother",1,2,0,"1","0","0","0","1","1","1","0",2,3,1,1,1,3,2,16,16,17
"130","GP","F",16,"U","GT3","T",3,1,"services","other","course","mother",1,4,0,"1","1","1","0","1","1","1","0",4,3,3,1,2,5,4,7,7,6
"131","GP","F",16,"U","GT3","T",3,1,"services","other","course","mother",1,4,0,"1","1","0","0","1","1","1","0",4,3,3,1,2,5,0,10,9,10
"132","GP","F",16,"U","GT3","T",3,2,"other","other","reputation","mother",1,2,0,"0","1","1","0","1","1","1","0",1,2,2,1,2,1,14,12,13,12
"133","GP","F",16,"U","GT3","T",3,2,"other","other","reputation","mother",1,2,0,"0","1","0","0","1","1","1","0",1,2,2,1,2,1,8,14,15,16
"134","GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"0","1","1","0","1","1","0","0",4,3,2,1,2,5,4,6,10,10
"135","GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"0","1","0","0","1","1","0","0",4,3,2,1,2,5,0,11,13,13
"136","GP","F",16,"U","GT3","T",3,3,"other","other","home","mother",1,3,0,"0","1","1","0","1","1","1","1",4,3,3,1,3,4,0,7,7,8
"137","GP","F",16,"U","GT3","T",3,3,"other","other","home","mother",1,3,0,"0","1","0","0","1","1","1","1",4,3,3,1,3,4,2,9,11,11
"138","GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",3,2,0,"1","1","0","1","1","1","0","0",5,3,2,1,1,4,2,13,14,14
"139","GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",3,2,0,"1","1","0","1","1","1","0","0",5,3,2,1,1,4,4,8,10,10
"140","GP","F",16,"U","GT3","T",3,3,"other","services","home","mother",1,2,0,"1","1","1","1","1","1","1","0",4,3,3,2,4,5,54,11,12,11
"141","GP","F",16,"U","GT3","T",3,3,"other","services","home","mother",1,2,0,"1","1","0","1","1","1","1","0",4,3,3,2,4,5,4,11,11,11
"142","GP","F",16,"U","GT3","T",3,4,"at_home","other","course","mother",1,2,0,"0","1","0","0","1","1","1","0",2,4,3,1,2,3,12,5,5,5
"143","GP","F",16,"U","GT3","T",3,4,"at_home","other","course","mother",1,2,0,"0","1","0","0","1","1","1","0",2,4,3,1,2,3,14,12,11,11
"144","GP","F",16,"U","GT3","T",4,2,"health","services","home","father",1,2,0,"0","0","1","0","1","1","1","1",4,2,3,1,1,3,0,14,15,16
"145","GP","F",16,"U","GT3","T",4,2,"health","services","home","father",1,2,0,"0","0","0","0","1","1","1","1",4,2,3,1,1,3,0,17,17,18
"146","GP","F",16,"U","GT3","T",4,2,"services","other","course","mother",1,2,0,"0","1","1","0","1","1","1","0",4,2,3,1,1,5,2,16,15,16
"147","GP","F",16,"U","GT3","T",4,2,"services","other","course","mother",1,2,0,"0","1","0","0","1","1","1","0",4,2,3,1,1,5,2,15,16,16
"148","GP","F",16,"U","GT3","T",4,2,"teacher","services","home","mother",2,2,0,"0","1","1","1","1","1","1","0",5,3,3,1,1,1,0,11,10,10
"149","GP","F",16,"U","GT3","T",4,2,"teacher","services","home","mother",2,2,0,"0","1","0","1","1","1","1","0",5,3,3,1,1,1,2,13,14,14
"150","GP","F",16,"U","GT3","T",4,3,"health","other","home","mother",1,2,0,"0","1","0","1","1","1","1","0",4,3,5,1,5,2,2,14,14,15
"151","GP","F",16,"U","GT3","T",4,3,"health","other","home","mother",1,2,0,"0","1","0","1","1","1","1","0",4,3,5,1,5,2,2,16,16,16
"152","GP","F",16,"U","GT3","T",4,3,"other","at_home","course","mother",1,3,0,"1","1","1","0","1","1","1","0",5,3,5,1,1,3,0,7,9,8
"153","GP","F",16,"U","GT3","T",4,3,"other","at_home","course","mother",1,3,0,"1","1","0","0","1","1","1","0",5,3,5,1,1,3,2,12,13,13
"154","GP","F",16,"U","GT3","T",4,3,"teacher","health","home","mother",1,3,0,"1","1","1","1","1","1","1","0",3,4,4,2,4,4,2,10,9,9
"155","GP","F",16,"U","GT3","T",4,3,"teacher","health","home","mother",1,3,0,"1","1","0","1","1","1","1","0",3,4,4,2,4,4,0,14,13,13
"156","GP","F",16,"U","GT3","T",4,3,"teacher","other","other","mother",1,2,0,"0","0","1","1","1","1","1","1",1,3,2,1,1,1,10,11,12,13
"157","GP","F",16,"U","GT3","T",4,3,"teacher","other","other","mother",1,2,0,"0","0","0","1","1","1","1","1",1,3,2,1,1,1,4,14,15,15
"158","GP","F",16,"U","GT3","T",4,4,"health","health","reputation","mother",1,2,0,"0","1","1","0","1","1","1","1",4,4,2,1,1,3,0,14,14,14
"159","GP","F",16,"U","GT3","T",4,4,"health","health","reputation","mother",1,2,0,"0","1","0","0","1","1","1","1",4,4,2,1,1,3,0,16,16,17
"160","GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,0,"0","1","0","0","1","1","1","0",4,4,4,1,2,2,4,14,14,14
"161","GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,0,"0","1","0","0","1","1","1","0",4,4,4,1,2,2,6,17,17,17
"162","GP","F",16,"U","GT3","T",4,4,"other","other","reputation","mother",1,1,0,"0","0","0","1","0","1","1","0",5,3,4,1,2,1,4,12,13,13
"163","GP","F",16,"U","GT3","T",4,4,"other","other","reputation","mother",1,1,0,"0","0","0","1","0","1","1","0",5,3,4,1,2,1,6,11,14,14
"164","GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1,3,0,"0","1","1","1","1","1","1","0",3,2,3,1,2,2,6,13,14,14
"165","GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1,3,0,"0","1","0","1","1","1","1","0",3,2,3,1,2,2,10,13,13,14
"166","GP","F",16,"U","GT3","T",4,4,"teacher","services","home","mother",1,3,0,"0","1","0","1","0","1","1","0",5,3,2,1,1,5,0,13,13,14
"167","GP","F",16,"U","GT3","T",4,4,"teacher","services","home","mother",1,3,0,"0","1","0","1","0","1","1","0",5,3,2,1,1,5,4,15,16,16
"168","GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",1,2,0,"0","1","0","0","1","1","1","0",2,3,5,1,4,3,6,13,12,13
"169","GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",1,2,0,"0","1","0","0","1","1","1","0",2,3,5,1,4,3,12,11,12,11
"170","GP","F",16,"U","LE3","T",1,1,"at_home","at_home","course","mother",1,1,0,"0","0","0","0","1","1","1","0",3,4,4,3,3,1,2,14,14,13
"171","GP","F",16,"U","LE3","T",1,1,"at_home","at_home","course","mother",1,1,0,"0","0","0","0","1","1","1","0",3,4,4,3,3,1,4,10,11,11
"172","GP","F",16,"U","LE3","T",1,2,"other","services","reputation","father",1,2,0,"1","0","0","1","1","1","1","0",4,4,3,1,1,1,0,13,13,10
"173","GP","F",16,"U","LE3","T",1,2,"other","services","reputation","father",1,2,0,"1","0","0","1","1","1","1","0",4,4,3,1,1,1,4,8,10,9
"174","GP","F",16,"U","LE3","T",2,2,"at_home","other","course","mother",1,2,0,"0","1","0","0","1","1","0","0",4,3,4,1,2,2,4,8,7,6
"175","GP","F",16,"U","LE3","T",2,2,"at_home","other","course","mother",1,2,0,"0","1","0","0","1","1","0","0",4,3,4,1,2,2,6,13,11,11
"176","GP","F",16,"U","LE3","T",2,2,"other","at_home","course","father",2,2,1,"1","0","0","1","1","1","1","0",4,3,3,2,2,5,14,10,10,9
"177","GP","F",16,"U","LE3","T",2,2,"other","at_home","course","father",2,2,1,"1","0","0","1","1","1","1","0",4,3,3,2,2,5,14,10,11,11
"178","GP","F",16,"U","LE3","T",2,2,"other","other","home","mother",2,2,0,"0","1","0","1","0","1","1","1",3,3,3,1,2,3,16,11,11,10
