"","id","school","sex","age","address","G1","G2","G3"
"77",77,"0","M",15,"U",11,11,10
"78",78,"0","F",16,"U",11,11,11
"79",79,"1","M",17,"U",8,8,10
"80",80,"0","F",16,"U",5,5,5
"81",81,"1","M",15,"U",10,12,12
"82",82,"1","M",15,"U",11,10,11
"83",83,"0","F",15,"U",7,6,6
"84",84,"0","M",15,"U",15,15,15
"85",85,"0","F",15,"U",9,10,10
"86",86,"0","F",15,"U",7,9,8
"87",87,"0","F",16,"U",8,7,6
"88",88,"0","F",15,"U",13,14,14
"89",89,"0","M",16,"U",11,10,10
"90",90,"0","M",16,"U",8,6,7
"91",91,"0","F",16,"U",7,7,8
"92",92,"0","F",15,"U",16,17,18
"93",93,"1","F",16,"U",7,6,6
"94",94,"0","F",16,"U",11,10,10
"95",95,"0","M",15,"U",11,13,14
"96",96,"1","F",15,"R",7,10,10
"97",97,"1","M",16,"R",11,15,15
"98",98,"0","F",16,"U",8,9,10
"99",99,"0","F",16,"U",11,14,14
"100",100,"1","F",16,"U",7,9,8
"101",101,"1","M",16,"U",7,7,5
"102",102,"0","M",16,"U",16,17,17
"103",103,"0","M",15,"U",10,13,14
"104",104,"1","F",15,"U",7,6,6
"105",105,"0","M",15,"U",16,18,18
"106",106,"1","F",15,"U",10,11,11
"107",107,"1","F",15,"U",7,8,8
"108",108,"0","M",16,"U",16,18,18
"109",109,"0","M",15,"R",10,13,13
"110",110,"0","F",16,"U",14,15,16
"111",111,"0","M",15,"U",18,19,19
"112",112,"1","F",16,"R",7,10,10
"113",113,"1","F",16,"U",10,13,13
"114",114,"0","M",15,"U",18,19,19
"115",115,"0","M",15,"R",9,9,9
"116",116,"0","M",16,"U",15,15,16
"117",117,"0","M",15,"U",11,13,14
"118",118,"0","M",16,"U",13,14,13
"119",119,"0","M",17,"R",9,7,8
"120",120,"0","M",15,"U",14,13,13
"121",121,"0","F",15,"U",16,15,15
"122",122,"0","M",15,"U",16,14,15
"123",123,"0","F",16,"U",13,13,13
"124",124,"0","M",16,"U",14,11,13
"125",125,"0","F",16,"U",8,7,8
"126",126,"1","M",15,"U",13,13,12
"127",127,"1","F",15,"U",7,10,11
"128",128,"0","F",19,"U",7,8,9
"129",129,"0","M",18,"R",7,4,0
"130",130,"0","M",16,"R",18,18,18
"131",131,"0","F",15,"R",12,0,0
"132",132,"0","F",15,"U",8,0,0
"133",133,"0","F",17,"U",10,13,12
"134",134,"0","F",16,"U",12,11,11
"135",135,"0","M",15,"R",9,0,0
"136",136,"0","F",15,"U",11,0,0
"137",137,"0","M",17,"R",10,0,0
"138",138,"0","F",16,"U",4,0,0
"139",139,"0","M",16,"U",14,12,12
"140",140,"0","F",15,"U",16,16,15
"141",141,"1","M",15,"U",7,9,0
"142",142,"0","M",16,"U",9,9,9
"143",143,"0","F",15,"U",9,11,11
"144",144,"0","F",16,"U",14,14,13
"145",145,"0","M",17,"U",5,0,0
"146",146,"0","F",15,"U",8,11,11
"147",147,"0","F",15,"U",6,7,0
"148",148,"0","F",15,"U",10,11,11
"149",149,"0","M",16,"U",7,6,0
"150",150,"0","M",15,"U",8,9,10
"151",151,"0","M",18,"U",6,5,0
"152",152,"0","M",16,"U",12,13,14
"153",153,"0","F",15,"R",10,10,10
"154",154,"0","M",19,"U",5,0,0
"155",155,"1","F",17,"U",11,11,12
"156",156,"1","M",15,"R",11,8,8
"157",157,"0","M",17,"R",16,12,13
"158",158,"0","F",18,"R",9,8,10
"159",159,"0","M",16,"R",17,15,15
"160",160,"0","M",16,"U",10,12,12
"161",161,"0","M",17,"R",7,6,0
"162",162,"1","M",15,"R",5,9,7
"163",163,"0","M",16,"U",7,0,0
"164",164,"0","M",17,"U",10,10,10
"165",165,"0","M",17,"R",5,8,7
"166",166,"0","M",16,"U",12,11,12
"167",167,"0","M",16,"U",10,10,10
"168",168,"0","F",16,"U",14,15,16
"169",169,"0","F",16,"U",6,7,0
"170",170,"0","F",16,"U",14,14,14
"171",171,"0","M",16,"U",6,5,0
"172",172,"0","M",16,"U",13,15,16
"173",173,"0","M",17,"U",13,11,10
"174",174,"0","F",16,"U",8,7,0
"175",175,"0","F",16,"U",10,11,9
"176",176,"0","M",17,"U",10,9,9
"177",177,"0","F",16,"U",13,13,11
"178",178,"0","M",17,"U",6,5,6
"179",179,"0","M",16,"R",10,8,9
"180",180,"0","M",17,"U",10,10,11
"181",181,"0","M",16,"U",9,8,8
"182",182,"0","M",16,"U",12,13,12
"183",183,"0","F",17,"U",16,17,17
"184",184,"0","F",17,"U",9,9,8
"185",185,"0","F",16,"U",12,13,12
"186",186,"0","M",17,"U",12,12,11
"187",187,"0","M",16,"U",11,12,11
"188",188,"0","M",16,"U",15,15,15
"189",189,"0","F",17,"U",8,7,9
"190",190,"0","M",17,"R",8,9,10
"191",191,"0","F",16,"U",11,12,13
"192",192,"0","F",17,"U",8,8,9
"193",193,"0","M",17,"U",7,8,8
"194",194,"0","M",16,"R",8,9,10
"195",195,"0","M",16,"U",13,14,14
"196",196,"0","F",17,"U",14,15,15
"197",197,"0","M",17,"U",17,15,16
"198",198,"0","M",16,"R",9,9,10
"199",199,"0","F",17,"U",18,18,18
"200",200,"0","F",16,"U",9,9,10
"201",201,"0","F",16,"U",16,16,16
"202",202,"1","F",16,"U",8,10,10
"203",203,"0","F",17,"U",9,9,10
"204",204,"0","F",17,"R",7,6,6
"205",205,"0","F",16,"R",10,10,11
"206",206,"0","F",17,"U",10,9,9
"207",207,"0","F",16,"U",7,7,7
"208",208,"0","F",16,"U",11,12,13
"209",209,"0","F",16,"U",9,9,10
"210",210,"0","F",17,"R",7,7,7
"211",211,"0","F",19,"U",8,8,8
"212",212,"0","M",17,"U",12,12,13
"213",213,"1","F",16,"U",12,13,14
"214",214,"0","M",18,"U",6,7,8
"215",215,"0","F",17,"R",8,10,10
"216",216,"0","F",17,"U",14,15,15
"217",217,"0","F",17,"U",6,6,4
"218",218,"0","M",18,"U",6,6,8
"219",219,"0","F",17,"U",7,7,8
"220",220,"0","F",17,"U",9,10,10
"221",221,"0","F",17,"R",6,6,6
"222",222,"0","F",17,"U",6,5,0
"223",223,"1","F",16,"U",16,16,17
"224",224,"0","M",18,"U",12,13,13
"225",225,"0","F",16,"U",13,13,14
"226",226,"0","F",18,"R",9,8,7
"227",227,"0","F",17,"U",16,15,15
"228",228,"0","M",17,"U",12,11,12
"229",229,"1","M",18,"U",10,8,9
"230",230,"0","F",17,"U",12,10,12
"231",231,"0","F",17,"U",13,13,14
"232",232,"0","M",17,"R",11,11,11
"233",233,"1","M",17,"U",11,9,9
"234",234,"0","M",16,"U",14,13,13
"235",235,"0","M",16,"U",9,7,6
"236",236,"0","M",16,"U",11,9,10
"237",237,"0","M",17,"U",14,13,13
"238",238,"0","F",16,"U",13,12,12
"239",239,"0","F",17,"R",13,11,11
"240",240,"0","M",18,"U",7,7,0
"241",241,"0","M",17,"U",12,12,12
"242",242,"0","M",17,"R",10,11,12
"243",243,"0","M",16,"U",6,0,0
"244",244,"0","M",16,"U",13,12,12
"245",245,"0","F",18,"U",7,0,0
"246",246,"0","M",16,"U",18,18,18
"247",247,"0","M",17,"U",12,12,13
"248",248,"0","M",22,"U",6,8,8
"249",249,"0","M",18,"R",3,5,5
"250",250,"0","M",16,"U",13,15,15
"251",251,"0","M",18,"U",6,8,8
"252",252,"1","M",16,"U",7,10,10
"253",253,"0","M",18,"U",6,9,8
"254",254,"0","M",16,"R",8,9,8
"255",255,"0","M",17,"R",8,12,12
"256",256,"0","M",17,"U",7,9,8
"257",257,"0","F",17,"U",14,12,13
"258",258,"0","M",19,"U",11,11,11
"259",259,"0","M",18,"U",15,14,14
"260",260,"0","F",17,"U",10,9,0
"261",261,"0","F",18,"U",17,18,18
"262",262,"0","M",18,"U",8,8,8
"263",263,"0","M",18,"R",13,12,12
"264",264,"0","F",17,"U",10,9,9
"265",265,"0","F",18,"U",9,10,0
"266",266,"0","M",18,"R",17,17,17
"267",267,"0","M",17,"U",9,9,10
"268",268,"0","F",18,"R",12,10,11
"269",269,"0","M",18,"U",10,9,10
"270",270,"0","F",18,"R",6,0,0
"271",271,"0","F",19,"U",9,9,9
"272",272,"0","F",18,"U",15,14,14
"273",273,"0","F",18,"U",11,11,11
"274",274,"0","M",17,"R",15,14,14
"275",275,"0","F",17,"U",10,10,10
"276",276,"1","F",17,"U",12,12,12
"277",277,"0","F",18,"R",10,9,9
"278",278,"0","M",18,"U",9,9,9
"279",279,"1","F",18,"U",9,8,8
"280",280,"0","M",18,"U",10,11,10
"281",281,"0","M",17,"U",8,8,8
"282",282,"0","M",17,"U",11,9,10
"283",283,"0","F",18,"R",12,12,12
"284",284,"1","F",18,"U",8,9,10
"285",285,"0","F",17,"U",10,9,11
"286",286,"0","M",17,"U",12,10,11
"287",287,"0","F",18,"U",18,18,19
"288",288,"0","F",17,"U",13,12,12
"289",289,"0","M",18,"U",15,14,14
"290",290,"0","M",18,"U",15,13,15
"291",291,"0","M",18,"U",12,11,11
"292",292,"0","F",17,"U",15,15,15
"293",293,"0","F",18,"U",12,12,13
"294",294,"0","F",17,"R",18,18,18
"295",295,"0","M",18,"R",14,13,14
"296",296,"0","M",17,"U",14,12,11
"297",297,"0","F",19,"U",10,9,0
"298",298,"0","F",18,"U",10,8,8
"299",299,"0","F",18,"U",14,13,14
"300",300,"0","M",18,"U",16,15,16
"301",301,"0","F",18,"U",12,10,11
"302",302,"0","M",17,"U",11,11,10
"303",303,"0","F",17,"U",15,12,14
"304",304,"0","F",17,"U",17,17,18
"305",305,"0","M",19,"U",15,14,13
"306",306,"0","F",18,"U",14,12,12
"307",307,"0","M",20,"U",17,18,18
"308",308,"0","M",19,"U",8,9,8
"309",309,"0","M",19,"R",15,12,12
"310",310,"1","F",19,"U",12,10,10
"311",311,"0","F",19,"U",9,9,0
"312",312,"0","F",19,"U",14,12,13
"313",313,"0","M",19,"U",13,11,11
"314",314,"0","F",19,"U",13,10,11
"315",315,"0","F",19,"U",15,13,13
"316",316,"0","F",19,"R",13,11,11
"317",317,"0","F",18,"U",8,8,0
"318",318,"0","F",18,"U",9,10,9
"319",319,"0","F",17,"R",11,11,10
"320",320,"0","F",18,"U",11,11,11
"321",321,"0","F",17,"U",13,13,13
"322",322,"0","F",17,"U",11,9,9
"323",323,"0","F",17,"R",11,11,11
"324",324,"0","F",17,"U",12,14,15
"325",325,"0","F",17,"U",16,15,15
"326",326,"0","M",18,"U",9,12,11
"327",327,"0","M",17,"U",14,15,16
"328",328,"0","M",17,"R",11,10,10
"329",329,"0","F",17,"U",10,9,9
"330",330,"0","F",17,"U",14,14,14
"331",331,"0","M",18,"U",9,8,8
"332",332,"0","F",17,"R",12,14,14
"333",333,"0","F",18,"U",7,0,0
"334",334,"0","F",18,"U",8,8,0
"335",335,"0","F",18,"R",10,9,0
"336",336,"0","F",17,"U",16,15,15
"337",337,"0","F",19,"R",14,13,13
"338",338,"0","F",17,"U",7,8,0
"339",339,"0","F",18,"U",16,15,17
"340",340,"0","F",17,"R",9,10,10
"341",341,"0","F",19,"U",11,12,11
"342",342,"0","M",18,"U",10,10,0
"343",343,"0","M",18,"U",16,15,15
"344",344,"0","F",17,"U",9,8,0
"345",345,"0","F",18,"U",11,10,10
"346",346,"0","F",18,"U",13,13,14
"347",347,"0","M",18,"R",16,15,16
"348",348,"0","M",18,"U",10,10,9
"349",349,"0","F",17,"U",13,15,15
"350",350,"0","M",18,"R",11,13,13
"351",351,"0","M",19,"R",8,7,8
"352",352,"0","M",17,"U",13,13,13
"353",353,"0","M",18,"U",8,7,8
"354",354,"0","M",19,"R",8,8,8
"355",355,"0","M",17,"R",13,11,11
"356",356,"0","F",18,"U",10,9,9
"357",357,"0","F",17,"R",12,13,13
"358",358,"0","F",17,"U",12,12,11
"359",359,"0","M",18,"U",10,10,10
"360",360,"0","F",18,"U",18,16,16
"361",361,"0","F",18,"R",13,13,13
"362",362,"0","M",18,"R",13,12,12
"363",363,"0","F",18,"U",11,11,10
"364",364,"0","F",17,"U",16,15,15
"365",365,"0","F",17,"R",12,11,12
"366",366,"0","M",18,"R",10,10,10
"367",367,"0","M",18,"U",13,13,13
"368",368,"0","F",17,"R",7,6,0
"369",369,"0","F",18,"U",11,10,10
"370",370,"0","F",18,"R",14,12,11
"371",371,"0","F",19,"U",7,7,9
"372",372,"0","M",18,"R",14,12,12
"373",373,"0","F",17,"U",13,11,11
"374",374,"0","F",17,"R",6,5,5
"375",375,"0","F",18,"R",19,18,19
"376",376,"0","F",18,"R",8,8,10
"377",377,"0","F",20,"U",15,14,15
"378",378,"0","F",18,"R",8,9,10
"379",379,"0","F",18,"U",15,15,15
"380",380,"0","F",17,"R",10,10,10
"381",381,"0","M",18,"U",15,14,14
"382",382,"0","M",18,"R",7,6,7
"383",383,"0","M",17,"U",11,11,10
"384",384,"0","M",19,"R",6,5,0
"385",385,"0","M",18,"R",6,5,5
"386",386,"0","F",18,"R",10,9,10
"387",387,"0","F",18,"R",6,5,6
"388",388,"0","F",19,"R",7,5,0
"389",389,"0","F",18,"U",7,9,8
"390",390,"0","F",18,"U",6,5,0
"391",391,"0","M",20,"U",9,9,9
"392",392,"0","M",17,"U",14,16,16
"393",393,"0","M",21,"R",10,8,7
"394",394,"0","M",18,"R",11,12,10
"395",395,"0","M",19,"U",8,9,9
"396",396,"1","F",18,"U",0,11,11
"397",397,"0","F",17,"U",9,11,11
"398",398,"1","F",15,"U",12,13,12
"399",399,"0","F",15,"U",14,14,14
"400",400,"0","F",16,"U",11,13,13
"401",401,"0","M",16,"U",12,12,13
"402",402,"0","M",16,"U",13,12,13
"403",403,"1","F",17,"U",10,13,13
"404",404,"0","M",15,"U",15,16,17
"405",405,"0","M",15,"U",12,12,13
"406",406,"0","F",15,"U",14,14,14
"407",407,"0","F",15,"U",10,12,13
"408",408,"0","M",15,"U",12,13,12
"409",409,"0","M",15,"U",12,12,13
"410",410,"0","M",15,"U",14,14,15
"411",411,"0","F",16,"U",17,17,17
"412",412,"0","F",16,"U",13,13,14
"413",413,"1","F",16,"U",13,14,14
"414",414,"0","M",17,"U",8,8,7
"415",415,"0","M",16,"U",12,12,12
"416",416,"0","M",15,"U",12,13,14
"417",417,"0","M",15,"U",11,12,12
"418",418,"0","M",16,"U",12,13,14
"419",419,"0","M",16,"U",10,10,10
"420",420,"1","F",15,"R",10,11,10
"421",421,"0","F",16,"U",10,11,12
"422",422,"0","M",15,"U",11,12,12
"423",423,"0","M",15,"U",11,11,11
"424",424,"1","M",16,"U",12,12,13
"425",425,"0","M",16,"U",12,11,12
"426",426,"0","M",15,"U",10,11,11
"427",427,"0","M",15,"U",15,15,15
"428",428,"0","M",15,"R",13,14,15
"429",429,"0","M",15,"U",13,12,12
"430",430,"0","M",16,"U",12,12,12
"431",431,"0","F",15,"U",11,11,11
"432",432,"0","M",15,"U",14,14,14
"433",433,"0","M",16,"R",13,13,13
"434",434,"1","F",15,"R",11,12,12
"435",435,"1","F",15,"R",14,13,12
"436",436,"0","F",16,"U",11,11,10
"437",437,"0","M",15,"U",10,11,11
"438",438,"0","M",15,"U",14,15,15
"439",439,"1","M",15,"U",9,10,10
"440",440,"1","F",16,"U",10,11,11
"441",441,"1","F",15,"U",10,11,11
"442",442,"0","F",16,"U",13,12,13
"443",443,"0","M",16,"U",17,17,17
"444",444,"0","M",15,"U",11,12,13
"445",445,"1","F",15,"U",13,12,12
"446",446,"0","F",16,"U",14,13,13
"447",447,"0","F",15,"U",16,14,16
"448",448,"0","M",15,"U",10,9,9
"449",449,"1","F",15,"U",13,12,12
"450",450,"0","F",15,"U",13,12,13
"451",451,"0","F",16,"U",12,13,12
"452",452,"0","F",15,"U",15,14,15
"453",453,"0","M",15,"U",15,15,16
"454",454,"1","M",15,"U",14,13,14
"455",455,"0","F",16,"U",16,15,16
"456",456,"0","F",16,"R",17,16,16
"457",457,"1","F",16,"U",10,10,16
"458",458,"1","F",16,"U",13,13,10
"459",459,"1","F",16,"U",14,13,13
"460",460,"1","F",15,"U",13,12,12
"461",461,"0","F",16,"U",16,15,16
"462",462,"0","M",15,"U",11,12,12
"463",463,"1","F",16,"U",10,9,10
"464",464,"1","F",15,"R",11,10,11
"465",465,"0","F",15,"R",15,15,15
"466",466,"0","M",16,"U",13,11,11
"467",467,"0","M",15,"U",11,9,10
"468",468,"1","F",15,"R",13,11,11
"469",469,"0","M",16,"U",13,13,14
"470",470,"1","F",16,"U",11,11,11
"471",471,"0","M",15,"U",11,11,11
"472",472,"0","M",15,"U",12,11,11
"473",473,"0","F",16,"U",13,13,13
"474",474,"1","M",17,"U",9,9,10
"475",475,"0","F",16,"U",12,11,11
"476",476,"1","M",15,"U",11,11,12
"477",477,"1","M",15,"U",10,9,9
"478",478,"0","F",15,"U",12,11,11
"479",479,"0","M",15,"U",13,12,13
"480",480,"0","F",15,"U",13,12,12
"481",481,"0","F",15,"U",12,11,12
"482",482,"0","F",16,"U",13,11,11
"483",483,"0","F",15,"U",15,15,15
"484",484,"0","M",16,"U",12,10,11
"485",485,"0","M",16,"U",9,9,10
"486",486,"0","F",16,"U",9,11,11
"487",487,"0","F",15,"U",14,13,13
"488",488,"1","F",16,"U",12,13,12
"489",489,"0","F",16,"U",13,14,14
"490",490,"0","M",15,"U",11,12,12
"491",491,"1","F",15,"R",13,13,13
"492",492,"1","M",16,"R",9,11,11
"493",493,"0","F",16,"U",13,12,12
"494",494,"0","F",16,"U",12,13,13
"495",495,"1","F",16,"U",12,13,13
"496",496,"1","M",16,"U",9,9,8
"497",497,"0","M",16,"U",16,16,16
"498",498,"0","M",15,"U",12,13,12
"499",499,"1","F",15,"U",11,10,10
"500",500,"0","M",15,"U",16,16,16
"501",501,"1","F",15,"U",10,10,10
"502",502,"1","F",15,"U",10,10,10
"503",503,"0","M",16,"U",13,14,14
"504",504,"0","M",15,"R",12,10,11
"505",505,"0","F",16,"U",15,15,14
"506",506,"0","M",15,"U",13,14,14
"507",507,"1","F",16,"R",11,11,11
"508",508,"1","F",16,"U",8,10,10
"509",509,"0","M",15,"U",18,17,18
"510",510,"0","M",15,"R",10,9,10
"511",511,"0","M",16,"U",16,14,14
"512",512,"0","M",15,"U",16,15,16
"513",513,"0","M",16,"U",14,14,15
"514",514,"0","M",17,"R",12,11,11
"515",515,"0","M",15,"U",14,13,14
"516",516,"0","F",15,"U",14,14,14
"517",517,"0","M",15,"U",14,13,13
"518",518,"0","F",16,"U",14,12,13
"519",519,"0","M",16,"U",12,13,13
"520",520,"0","F",16,"U",12,11,11
"521",521,"1","M",15,"U",9,9,9
"522",522,"1","F",15,"U",10,11,11
"523",523,"0","F",19,"U",9,10,11
"524",524,"0","M",16,"R",14,14,15
"525",525,"0","M",16,"U",13,12,13
"526",526,"0","F",15,"R",10,11,12
"527",527,"0","F",18,"U",10,9,8
"528",528,"0","F",17,"U",11,10,11
"529",529,"0","F",15,"U",11,12,13
"530",530,"0","F",17,"U",13,12,12
"531",531,"0","F",16,"U",15,13,14
"532",532,"0","M",16,"U",9,9,11
"533",533,"0","F",16,"U",13,11,11
"534",534,"0","M",15,"R",12,11,11
"535",535,"0","F",15,"U",13,14,15
"536",536,"0","M",17,"R",10,9,10
"537",537,"0","F",16,"R",14,13,13
"538",538,"0","M",18,"U",11,11,12
"539",539,"0","F",18,"U",12,11,11
"540",540,"0","F",16,"R",12,11,11
"541",541,"0","F",16,"U",9,9,10
"542",542,"0","M",16,"U",10,10,10
"543",543,"0","F",15,"U",13,14,14
"544",544,"0","F",15,"R",8,9,9
"545",545,"1","M",15,"U",9,11,11
"546",546,"0","F",15,"U",9,8,9
"547",547,"0","M",16,"U",15,13,13
"548",548,"0","M",16,"U",12,11,11
"549",549,"0","F",15,"U",13,13,13
"550",550,"0","F",16,"U",10,11,11
"551",551,"0","M",17,"U",9,7,6
"552",552,"0","F",15,"U",12,12,12
"553",553,"0","F",15,"U",11,10,10
"554",554,"0","F",15,"U",11,11,11
"555",555,"0","F",15,"U",13,12,13
"556",556,"0","F",15,"U",11,11,11
"557",557,"0","M",16,"U",9,9,8
"558",558,"0","M",15,"U",12,11,11
"559",559,"0","M",18,"U",11,9,0
"560",560,"0","M",16,"U",9,10,10
"561",561,"0","F",15,"R",13,13,13
"562",562,"0","M",19,"U",11,9,11
"563",563,"1","F",17,"U",13,13,13
"564",564,"1","M",15,"R",7,8,8
"565",565,"0","M",17,"R",9,8,10
"566",566,"0","F",18,"R",11,10,11
"567",567,"0","M",16,"R",12,10,11
"568",568,"0","M",16,"U",10,10,1
"569",569,"0","M",16,"U",9,8,10
"570",570,"0","M",17,"R",8,8,9
"571",571,"1","M",17,"R",7,6,8
"572",572,"0","M",15,"U",8,9,10
"573",573,"0","M",16,"U",9,8,8
"574",574,"0","M",17,"R",8,8,8
"575",575,"0","M",17,"U",8,7,8
"576",576,"0","M",16,"U",9,10,11
"577",577,"0","F",16,"U",17,17,18
"578",578,"0","F",16,"U",12,12,13
"579",579,"0","F",16,"U",16,16,17
"580",580,"0","M",16,"U",9,9,10
"581",581,"0","M",16,"U",16,17,18
"582",582,"0","M",17,"U",11,9,10
"583",583,"0","F",16,"U",14,13,13
"584",584,"0","F",16,"U",14,14,15
"585",585,"0","M",17,"U",10,11,11
"586",586,"0","F",16,"U",13,12,14
"587",587,"0","M",17,"U",11,9,10
"588",588,"0","M",16,"R",10,9,11
"589",589,"0","M",17,"U",11,11,13
"590",590,"0","M",16,"U",11,10,11
"591",591,"0","M",16,"U",11,12,13
"592",592,"0","F",17,"U",17,18,17
"593",593,"0","F",17,"U",14,13,14
"594",594,"0","F",16,"U",14,15,16
"595",595,"0","M",17,"U",11,13,14
"596",596,"0","M",16,"U",10,9,11
"597",597,"0","M",16,"U",13,14,16
"598",598,"0","F",17,"U",12,13,14
"599",599,"0","M",17,"R",9,9,10
"600",600,"0","F",16,"U",12,12,13
"601",601,"0","F",17,"U",12,11,12
"602",602,"0","M",17,"U",10,11,12
"603",603,"0","M",16,"R",11,10,10
"604",604,"0","M",16,"U",13,12,12
"605",605,"0","F",17,"U",14,15,16
"606",606,"0","M",17,"U",13,13,14
"607",607,"0","M",16,"R",10,11,12
"608",608,"0","F",17,"U",14,15,16
"609",609,"0","F",16,"U",11,10,11
"610",610,"0","F",16,"U",14,14,15
"611",611,"1","F",16,"U",11,12,12
"612",612,"0","F",17,"U",14,15,15
"613",613,"0","F",17,"R",13,13,13
"614",614,"0","F",16,"R",13,13,13
"615",615,"0","F",17,"U",8,9,8
"616",616,"0","F",16,"U",11,11,12
"617",617,"0","F",16,"U",14,15,15
"618",618,"0","F",16,"U",12,13,13
"619",619,"0","F",17,"R",11,12,12
"620",620,"0","F",19,"U",12,12,12
"621",621,"0","M",17,"U",13,12,12
"622",622,"1","F",16,"U",13,13,13
"623",623,"0","M",18,"U",12,11,11
"624",624,"0","F",17,"R",12,11,11
"625",625,"0","F",17,"U",14,16,15
"626",626,"0","F",17,"U",11,9,10
"627",627,"0","M",18,"U",10,10,10
"628",628,"0","F",17,"U",12,13,13
"629",629,"0","F",17,"U",12,12,13
"630",630,"0","F",17,"R",11,10,11
"631",631,"0","F",17,"U",12,12,12
"632",632,"1","F",16,"U",13,13,14
"633",633,"0","M",18,"U",10,9,10
"634",634,"0","F",16,"U",15,16,16
"635",635,"0","F",18,"R",8,8,8
"636",636,"0","F",17,"U",17,18,17
"637",637,"0","M",17,"U",10,11,11
"638",638,"1","M",18,"U",9,10,11
"639",639,"0","F",17,"U",15,15,16
"640",640,"0","F",17,"U",14,12,12
"641",641,"0","M",17,"R",12,13,13
"642",642,"1","M",17,"U",13,13,13
"643",643,"0","M",16,"U",13,13,14
"644",644,"0","M",16,"U",9,9,9
"645",645,"0","M",16,"U",12,12,12
"646",646,"0","M",17,"U",16,16,16
"647",647,"0","F",16,"U",9,10,10
"648",648,"0","F",16,"U",14,13,13
"649",649,"0","F",18,"U",10,10,10
"650",650,"0","F",18,"U",9,8,10
"651",651,"0","F",18,"U",8,7,7
"652",652,"0","M",18,"U",7,8,8
"653",653,"0","M",17,"U",10,8,9
"654",654,"0","F",17,"U",14,14,15
"655",655,"0","F",17,"U",11,10,10
"656",656,"0","F",16,"U",12,11,11
"657",657,"0","F",17,"R",13,13,13
"658",658,"0","F",17,"R",9,9,8
"659",659,"0","M",18,"U",8,7,8
"660",660,"0","F",17,"U",11,9,10
"661",661,"0","F",17,"R",15,14,15
"662",662,"0","F",17,"U",15,14,14
"663",663,"0","M",17,"U",15,15,15
"664",664,"0","M",17,"R",12,12,12
