"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","id"
"42","GP","F",15,"U","GT3","T",3,2,"health","services","home","father",1,2,1,"0","1","0","0","1","1","1","0",3,3,2,1,1,3,2,11,11,11,42
"43","GP","F",15,"U","GT3","T",3,2,"health","services","home","father",1,2,3,"0","1","0","0","1","1","1","0",3,3,2,1,1,3,0,6,7,0,43
"44","GP","F",15,"U","GT3","T",3,2,"services","other","home","mother",2,2,0,"1","1","1","0","1","1","1","0",4,3,5,1,1,2,26,7,6,6,44
"45","GP","F",15,"U","GT3","T",3,2,"services","other","home","mother",2,2,0,"1","1","0","0","1","1","1","0",4,3,5,1,1,2,16,11,10,10,45
"46","GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"0","1","1","1","1","1","1","1",3,2,2,1,1,5,2,15,14,15,46
"47","GP","F",15,"U","GT3","T",4,2,"health","services","home","mother",1,3,0,"0","1","0","1","1","1","1","1",3,2,2,1,1,5,0,14,14,14,47
"48","GP","F",15,"U","GT3","T",4,2,"other","other","reputation","mother",1,3,0,"0","1","0","1","1","1","1","0",5,3,3,1,3,1,4,13,14,14,48
"49","GP","F",15,"U","GT3","T",4,2,"other","other","reputation","mother",1,3,0,"0","1","0","1","1","1","1","0",5,3,3,1,3,1,4,15,15,15,49
"50","GP","F",15,"U","GT3","T",4,3,"services","other","reputation","mother",1,1,0,"0","0","1","1","1","1","1","0",4,5,5,1,3,1,4,16,17,18,50
"51","GP","F",15,"U","GT3","T",4,3,"services","other","reputation","mother",1,1,0,"0","0","0","1","1","1","1","0",4,5,5,1,3,1,6,14,13,13,51
"52","GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",1,3,0,"0","1","0","1","1","1","1","1",4,3,3,1,1,5,0,11,0,0,52
"53","GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",1,3,0,"0","1","0","1","1","1","1","1",4,3,3,1,1,5,4,13,14,15,53
"54","GP","F",15,"U","GT3","T",4,4,"services","services","course","mother",1,1,0,"1","1","1","0","1","1","1","0",3,3,4,2,3,5,0,8,10,11,54
"55","GP","F",15,"U","GT3","T",4,4,"services","services","course","mother",1,1,0,"1","1","0","0","1","1","1","0",3,3,4,2,3,5,0,13,12,12,55
"56","GP","F",15,"U","GT3","T",4,4,"services","services","reputation","father",2,2,0,"0","0","0","0","1","1","1","1",4,4,4,2,3,5,4,12,11,12,56
"57","GP","F",15,"U","GT3","T",4,4,"services","services","reputation","father",2,2,2,"0","0","1","0","1","1","1","1",4,4,4,2,3,5,6,7,9,8,57
"58","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,0,"1","1","0","1","0","1","1","0",4,4,4,1,1,3,2,13,12,12,58
"59","GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",1,2,1,"1","1","0","1","0","1","1","0",4,4,4,1,1,3,2,7,7,7,59
"60","GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"0","1","1","0","1","1","1","0",3,3,3,1,2,2,0,10,8,9,60
"61","GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",1,2,0,"0","1","0","0","1","1","1","0",3,3,3,1,2,2,2,14,14,14,61
"62","GP","F",15,"U","GT3","T",4,4,"teacher","services","course","mother",1,3,0,"0","1","1","1","1","1","1","0",4,2,2,1,1,5,2,9,11,11,62
"63","GP","F",15,"U","GT3","T",4,4,"teacher","services","course","mother",1,3,0,"0","1","0","1","1","1","1","0",4,2,2,1,1,5,2,13,13,13,63
"64","GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,1,0,"0","0","0","1","1","1","1","0",4,3,2,1,1,5,0,16,16,15,64
"65","GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","mother",2,1,0,"0","0","0","1","1","1","1","0",4,3,2,1,1,5,6,13,14,14,65
"66","GP","F",15,"U","LE3","A",2,1,"at_home","other","home","mother",2,1,0,"0","1","0","1","1","0","1","1",4,4,2,1,1,5,0,11,10,10,66
"67","GP","F",15,"U","LE3","A",3,3,"other","other","other","mother",1,1,0,"0","0","1","0","1","1","1","0",5,3,4,4,4,1,6,10,13,13,67
"68","GP","F",15,"U","LE3","A",3,3,"other","other","other","mother",1,1,0,"0","0","0","0","1","1","1","0",5,3,4,4,4,1,0,13,12,13,68
"69","GP","F",15,"U","LE3","A",3,4,"other","other","home","mother",1,2,0,"1","0","0","1","1","1","1","1",5,3,2,1,1,1,0,7,10,11,69
"70","GP","F",15,"U","LE3","A",3,4,"other","other","home","mother",1,2,0,"1","0","0","1","1","1","1","1",5,3,2,1,1,1,0,10,11,11,70
"71","GP","F",15,"U","LE3","A",4,3,"other","other","course","mother",1,2,0,"1","1","1","1","1","1","1","1",5,2,2,1,1,5,4,10,11,11,71
"72","GP","F",15,"U","LE3","A",4,3,"other","other","course","mother",1,2,0,"1","1","1","1","1","1","1","1",5,2,2,1,1,5,8,8,8,6,72
"73","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,0,"1","0","0","0","1","1","1","0",4,3,2,2,3,3,6,12,13,12,73
"74","GP","F",15,"U","LE3","T",1,1,"at_home","other","other","mother",1,2,3,"1","0","1","0","1","1","1","0",4,3,2,2,3,3,10,7,8,10,74
"75","GP","F",15,"U","LE3","T",3,2,"services","other","reputation","mother",1,2,0,"0","1","1","0","1","1","1","0",4,4,4,1,1,5,10,7,6,6,75
"76","GP","F",15,"U","LE3","T",3,2,"services","other","reputation","mother",1,2,0,"0","1","0","0","1","1","1","0",4,4,4,1,1,5,4,12,11,11,76
"77","GP","F",15,"U","LE3","T",4,2,"health","other","other","mother",1,2,0,"0","1","1","0","1","1","1","0",4,3,3,1,1,5,2,11,13,13,77
"78","GP","F",15,"U","LE3","T",4,2,"health","other","other","mother",1,2,0,"0","1","0","0","1","1","1","0",4,3,3,1,1,5,0,16,14,16,78
"79","GP","F",15,"U","LE3","T",4,3,"services","services","reputation","father",1,2,0,"1","0","0","1","1","1","1","1",4,4,4,2,4,2,0,10,10,10,79
"80","GP","F",15,"U","LE3","T",4,3,"services","services","reputation","father",1,2,0,"1","0","0","1","1","1","1","1",4,4,4,2,4,2,0,13,12,12,80
"81","GP","F",16,"R","GT3","T",1,1,"at_home","other","course","mother",4,2,0,"0","1","0","0","1","1","0","0",5,1,3,1,1,3,0,14,13,13,81
"82","GP","F",16,"R","GT3","T",1,1,"other","services","reputation","mother",2,1,0,"0","1","0","1","1","1","0","1",3,3,3,1,2,1,8,12,11,11,82
"83","GP","F",16,"R","GT3","T",2,2,"services","services","reputation","mother",2,4,0,"0","1","1","1","0","1","1","0",5,3,5,1,1,5,6,10,10,11,83
"84","GP","F",16,"R","GT3","T",2,2,"services","services","reputation","mother",2,4,0,"0","1","0","1","0","1","1","0",5,3,5,1,1,5,6,13,13,13,84
"85","GP","F",16,"R","GT3","T",3,3,"services","other","reputation","father",1,3,0,"1","1","0","1","1","1","1","0",4,1,2,1,1,2,4,11,11,11,85
"86","GP","F",16,"R","GT3","T",3,3,"services","other","reputation","father",1,3,1,"1","1","0","1","1","1","1","0",4,1,2,1,1,2,0,7,10,10,86
"87","GP","F",16,"R","GT3","T",4,4,"health","teacher","other","mother",1,2,0,"0","1","0","1","1","1","0","0",2,4,4,2,3,4,0,17,16,16,87
"88","GP","F",16,"R","GT3","T",4,4,"health","teacher","other","mother",1,2,0,"0","1","0","1","1","1","0","0",2,4,4,2,3,4,6,10,11,11,88
"89","GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,0,"0","0","1","1","1","1","1","1",5,3,4,1,1,2,8,8,9,10,89
"90","GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",1,2,0,"0","0","0","1","1","1","1","1",5,3,4,1,1,2,2,12,13,12,90
"91","GP","F",16,"U","GT3","A",2,2,"other","other","home","mother",1,1,1,"0","0","0","0","1","1","0","0",5,3,4,1,1,5,12,13,11,11,91
"92","GP","F",16,"U","GT3","A",2,2,"other","other","reputation","mother",1,2,0,"1","1","1","0","1","1","1","0",3,3,4,1,1,4,0,12,13,14,92
"93","GP","F",16,"U","GT3","A",2,2,"other","other","reputation","mother",1,2,0,"1","1","0","0","1","1","1","0",3,3,4,1,1,4,0,13,13,13,93
"94","GP","F",16,"U","GT3","A",3,1,"services","other","course","mother",1,2,0,"0","1","0","0","1","1","1","0",2,3,3,2,2,4,2,11,11,12,94
"95","GP","F",16,"U","GT3","A",3,1,"services","other","course","mother",1,2,3,"0","1","1","0","1","1","1","0",2,3,3,2,2,4,5,7,7,7,95
"96","GP","F",16,"U","GT3","A",3,3,"other","other","course","other",2,1,0,"0","1","0","1","0","1","1","1",4,3,2,1,1,5,4,9,9,10,96
"97","GP","F",16,"U","GT3","A",3,3,"other","other","course","other",2,1,2,"0","1","0","1","0","1","1","1",4,3,2,1,1,5,0,4,0,0,97
"98","GP","F",16,"U","GT3","A",3,4,"services","other","course","father",1,1,0,"0","0","0","0","1","1","1","0",3,2,1,1,4,5,12,15,13,14,98
"99","GP","F",16,"U","GT3","A",3,4,"services","other","course","father",1,1,0,"0","0","0","0","1","1","1","0",3,2,1,1,4,5,16,12,11,11,99
"100","GP","F",16,"U","GT3","A",4,1,"other","other","home","mother",1,2,0,"0","0","0","1","1","1","1","1",5,3,3,1,2,5,0,14,13,13,100
"101","GP","F",16,"U","GT3","T",1,1,"at_home","other","home","mother",2,1,0,"0","1","1","0","1","1","0","0",4,3,2,1,4,5,6,9,9,10,101
"102","GP","F",16,"U","GT3","T",1,1,"at_home","other","home","mother",2,1,0,"0","1","0","0","1","1","0","0",4,3,2,1,4,5,2,12,13,13,102
"103","GP","F",16,"U","GT3","T",1,1,"services","services","course","father",4,1,0,"1","1","0","1","0","1","1","1",5,5,5,5,5,5,0,10,10,16,103
"104","GP","F",16,"U","GT3","T",1,1,"services","services","course","father",4,1,0,"1","1","0","1","0","1","1","1",5,5,5,5,5,5,6,10,8,11,104
"105","GP","F",16,"U","GT3","T",1,2,"other","other","course","mother",1,1,0,"0","0","0","0","1","0","1","0",5,3,5,1,2,5,4,12,11,11,105
"106","GP","F",16,"U","GT3","T",1,3,"at_home","services","home","mother",1,2,0,"0","0","0","1","0","1","1","1",4,3,5,1,1,3,0,14,13,13,106
"107","GP","F",16,"U","GT3","T",1,3,"at_home","services","home","mother",1,2,3,"0","0","0","1","0","1","1","1",4,3,5,1,1,3,0,8,7,0,107
"108","GP","F",16,"U","GT3","T",2,1,"other","other","course","mother",1,2,0,"0","1","1","0","1","1","0","1",4,3,5,1,1,5,2,8,9,10,108
"109","GP","F",16,"U","GT3","T",2,1,"other","other","course","mother",1,2,0,"0","1","0","0","1","1","0","1",4,3,5,1,1,5,0,13,12,12,109
"110","GP","F",16,"U","GT3","T",2,1,"other","other","home","mother",1,1,0,"0","0","0","0","1","1","1","1",4,5,2,1,1,5,4,9,10,10,110
"111","GP","F",16,"U","GT3","T",2,1,"other","other","home","mother",1,1,0,"0","0","0","0","1","1","1","1",4,5,2,1,1,5,20,13,12,12,111
"112","GP","F",16,"U","GT3","T",2,2,"at_home","other","home","mother",1,2,1,"1","0","0","1","1","1","1","0",3,1,2,1,1,5,6,10,13,13,112
"113","GP","F",16,"U","GT3","T",2,2,"at_home","other","home","mother",1,2,1,"1","0","0","1","1","1","1","0",3,1,2,1,1,5,12,8,10,10,113
"114","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"0","1","1","0","0","1","1","0",5,1,5,1,1,4,0,6,7,0,114
"115","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"0","1","0","0","0","1","1","0",5,1,5,1,1,4,0,12,12,13,115
"116","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"0","0","1","0","1","1","1","1",5,4,4,1,1,5,0,8,7,8,116
"117","GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",1,2,0,"0","0","0","0","1","1","1","1",5,4,4,1,1,5,0,12,11,11,117
"118","GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",1,4,0,"0","0","1","0","1","1","1","1",5,2,3,1,3,3,0,11,11,11,118
"119","GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",1,4,0,"0","0","0","0","1","1","1","1",5,2,3,1,3,3,1,13,13,13,119
"120","GP","F",16,"U","GT3","T",2,2,"services","other","reputation","mother",2,2,0,"0","0","1","1","0","1","1","0",3,4,4,1,4,5,2,13,13,11,120
"121","GP","F",16,"U","GT3","T",2,2,"services","other","reputation","mother",2,2,0,"0","0","0","1","0","1","1","0",3,4,4,1,4,5,0,13,12,14,121
"122","GP","F",16,"U","GT3","T",2,2,"services","services","home","mother",1,1,0,"0","1","0","0","0","1","1","0",1,2,2,1,3,5,6,10,11,12,122
"123","GP","F",16,"U","GT3","T",2,2,"services","services","home","mother",1,1,2,"0","1","1","0","0","1","1","0",1,2,2,1,3,5,14,6,9,8,123
"124","GP","F",16,"U","GT3","T",2,3,"other","other","reputation","mother",1,2,0,"1","1","1","1","1","1","0","0",4,4,3,1,3,4,6,8,10,10,124
"125","GP","F",16,"U","GT3","T",2,3,"other","other","reputation","mother",1,2,0,"1","1","0","1","1","1","0","0",4,4,3,1,3,4,4,11,12,12,125
"126","GP","F",16,"U","GT3","T",2,3,"services","services","course","mother",1,2,0,"0","0","0","0","1","1","1","0",4,3,3,1,1,2,6,12,12,13,126
"127","GP","F",16,"U","GT3","T",2,3,"services","services","course","mother",1,2,0,"0","0","0","0","1","1","1","0",4,3,3,1,1,2,10,11,12,13,127
"128","GP","F",16,"U","GT3","T",2,3,"services","teacher","other","mother",1,2,0,"1","0","0","0","1","1","1","0",2,3,1,1,1,3,0,13,13,14,128
"129","GP","F",16,"U","GT3","T",2,3,"services","teacher","other","mother",1,2,0,"1","0","0","0","1","1","1","0",2,3,1,1,1,3,2,16,16,17,129
"130","GP","F",16,"U","GT3","T",3,1,"services","other","course","mother",1,4,0,"1","1","1","0","1","1","1","0",4,3,3,1,2,5,4,7,7,6,130
"131","GP","F",16,"U","GT3","T",3,1,"services","other","course","mother",1,4,0,"1","1","0","0","1","1","1","0",4,3,3,1,2,5,0,10,9,10,131
"132","GP","F",16,"U","GT3","T",3,2,"other","other","reputation","mother",1,2,0,"0","1","1","0","1","1","1","0",1,2,2,1,2,1,14,12,13,12,132
"133","GP","F",16,"U","GT3","T",3,2,"other","other","reputation","mother",1,2,0,"0","1","0","0","1","1","1","0",1,2,2,1,2,1,8,14,15,16,133
"134","GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"0","1","1","0","1","1","0","0",4,3,2,1,2,5,4,6,10,10,134
"135","GP","F",16,"U","GT3","T",3,3,"other","other","home","father",1,2,0,"0","1","0","0","1","1","0","0",4,3,2,1,2,5,0,11,13,13,135
"136","GP","F",16,"U","GT3","T",3,3,"other","other","home","mother",1,3,0,"0","1","1","0","1","1","1","1",4,3,3,1,3,4,0,7,7,8,136
"137","GP","F",16,"U","GT3","T",3,3,"other","other","home","mother",1,3,0,"0","1","0","0","1","1","1","1",4,3,3,1,3,4,2,9,11,11,137
"138","GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",3,2,0,"1","1","0","1","1","1","0","0",5,3,2,1,1,4,2,13,14,14,138
"139","GP","F",16,"U","GT3","T",3,3,"other","other","reputation","mother",3,2,0,"1","1","0","1","1","1","0","0",5,3,2,1,1,4,4,8,10,10,139
"140","GP","F",16,"U","GT3","T",3,3,"other","services","home","mother",1,2,0,"1","1","1","1","1","1","1","0",4,3,3,2,4,5,54,11,12,11,140
"141","GP","F",16,"U","GT3","T",3,3,"other","services","home","mother",1,2,0,"1","1","0","1","1","1","1","0",4,3,3,2,4,5,4,11,11,11,141
"142","GP","F",16,"U","GT3","T",3,4,"at_home","other","course","mother",1,2,0,"0","1","0","0","1","1","1","0",2,4,3,1,2,3,12,5,5,5,142
"143","GP","F",16,"U","GT3","T",3,4,"at_home","other","course","mother",1,2,0,"0","1","0","0","1","1","1","0",2,4,3,1,2,3,14,12,11,11,143
"144","GP","F",16,"U","GT3","T",4,2,"health","services","home","father",1,2,0,"0","0","1","0","1","1","1","1",4,2,3,1,1,3,0,14,15,16,144
"145","GP","F",16,"U","GT3","T",4,2,"health","services","home","father",1,2,0,"0","0","0","0","1","1","1","1",4,2,3,1,1,3,0,17,17,18,145
"146","GP","F",16,"U","GT3","T",4,2,"services","other","course","mother",1,2,0,"0","1","1","0","1","1","1","0",4,2,3,1,1,5,2,16,15,16,146
"147","GP","F",16,"U","GT3","T",4,2,"services","other","course","mother",1,2,0,"0","1","0","0","1","1","1","0",4,2,3,1,1,5,2,15,16,16,147
"148","GP","F",16,"U","GT3","T",4,2,"teacher","services","home","mother",2,2,0,"0","1","1","1","1","1","1","0",5,3,3,1,1,1,0,11,10,10,148
"149","GP","F",16,"U","GT3","T",4,2,"teacher","services","home","mother",2,2,0,"0","1","0","1","1","1","1","0",5,3,3,1,1,1,2,13,14,14,149
"150","GP","F",16,"U","GT3","T",4,3,"health","other","home","mother",1,2,0,"0","1","0","1","1","1","1","0",4,3,5,1,5,2,2,14,14,15,150
"151","GP","F",16,"U","GT3","T",4,3,"health","other","home","mother",1,2,0,"0","1","0","1","1","1","1","0",4,3,5,1,5,2,2,16,16,16,151
"152","GP","F",16,"U","GT3","T",4,3,"other","at_home","course","mother",1,3,0,"1","1","1","0","1","1","1","0",5,3,5,1,1,3,0,7,9,8,152
"153","GP","F",16,"U","GT3","T",4,3,"other","at_home","course","mother",1,3,0,"1","1","0","0","1","1","1","0",5,3,5,1,1,3,2,12,13,13,153
"154","GP","F",16,"U","GT3","T",4,3,"teacher","health","home","mother",1,3,0,"1","1","1","1","1","1","1","0",3,4,4,2,4,4,2,10,9,9,154
"155","GP","F",16,"U","GT3","T",4,3,"teacher","health","home","mother",1,3,0,"1","1","0","1","1","1","1","0",3,4,4,2,4,4,0,14,13,13,155
"156","GP","F",16,"U","GT3","T",4,3,"teacher","other","other","mother",1,2,0,"0","0","1","1","1","1","1","1",1,3,2,1,1,1,10,11,12,13,156
"157","GP","F",16,"U","GT3","T",4,3,"teacher","other","other","mother",1,2,0,"0","0","0","1","1","1","1","1",1,3,2,1,1,1,4,14,15,15,157
"158","GP","F",16,"U","GT3","T",4,4,"health","health","reputation","mother",1,2,0,"0","1","1","0","1","1","1","1",4,4,2,1,1,3,0,14,14,14,158
"159","GP","F",16,"U","GT3","T",4,4,"health","health","reputation","mother",1,2,0,"0","1","0","0","1","1","1","1",4,4,2,1,1,3,0,16,16,17,159
"160","GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,0,"0","1","0","0","1","1","1","0",4,4,4,1,2,2,4,14,14,14,160
"161","GP","F",16,"U","GT3","T",4,4,"health","other","home","mother",1,1,0,"0","1","0","0","1","1","1","0",4,4,4,1,2,2,6,17,17,17,161
"162","GP","F",16,"U","GT3","T",4,4,"other","other","reputation","mother",1,1,0,"0","0","0","1","0","1","1","0",5,3,4,1,2,1,4,12,13,13,162
"163","GP","F",16,"U","GT3","T",4,4,"other","other","reputation","mother",1,1,0,"0","0","0","1","0","1","1","0",5,3,4,1,2,1,6,11,14,14,163
"164","GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1,3,0,"0","1","1","1","1","1","1","0",3,2,3,1,2,2,6,13,14,14,164
"165","GP","F",16,"U","GT3","T",4,4,"services","services","reputation","mother",1,3,0,"0","1","0","1","1","1","1","0",3,2,3,1,2,2,10,13,13,14,165
"166","GP","F",16,"U","GT3","T",4,4,"teacher","services","home","mother",1,3,0,"0","1","0","1","0","1","1","0",5,3,2,1,1,5,0,13,13,14,166
"167","GP","F",16,"U","GT3","T",4,4,"teacher","services","home","mother",1,3,0,"0","1","0","1","0","1","1","0",5,3,2,1,1,5,4,15,16,16,167
"168","GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",1,2,0,"0","1","0","0","1","1","1","0",2,3,5,1,4,3,6,13,12,13,168
"169","GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",1,2,0,"0","1","0","0","1","1","1","0",2,3,5,1,4,3,12,11,12,11,169
"170","GP","F",16,"U","LE3","T",1,1,"at_home","at_home","course","mother",1,1,0,"0","0","0","0","1","1","1","0",3,4,4,3,3,1,2,14,14,13,170
"171","GP","F",16,"U","LE3","T",1,1,"at_home","at_home","course","mother",1,1,0,"0","0","0","0","1","1","1","0",3,4,4,3,3,1,4,10,11,11,171
"172","GP","F",16,"U","LE3","T",1,2,"other","services","reputation","father",1,2,0,"1","0","0","1","1","1","1","0",4,4,3,1,1,1,0,13,13,10,172
"173","GP","F",16,"U","LE3","T",1,2,"other","services","reputation","father",1,2,0,"1","0","0","1","1","1","1","0",4,4,3,1,1,1,4,8,10,9,173
